logical_id,source_group,request_id,call_type,npc_id,input_tokens,output_tokens,success,fallback_used,evidence_level,full_prompt,result_summary
direct_01,direct_matrix,verify_t0067_combat_escape_real_battle_single_join_battle,battle_judgement,,4361,133,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/01_battle_single_join_battle.json,"{""decision"":""join_battle"",""emotion"":""resolved"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""格伦已入伍、有主武器，且守备官命令他拿长杆到主厅与艾达会合。他目睹敌袭，虽非战斗专长但责任感强，认为装备使用者应亲自验证装备在实战中的表现。allowed_decisions只有join_battle，故选择参战。""}"
direct_02,direct_matrix,verify_t0067_combat_escape_real_battle_single_avoid_battle,battle_judgement,,4336,124,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/02_battle_single_avoid_battle.json,"{""decision"":""avoid_battle"",""emotion"":""tense"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""马塞尔是非战斗人员，没有武器，已按守备官指令在小教堂避敌。他听到敌袭警报但未亲历伤害，作为神父倾向于留在安全处安抚他人而非逃离。allowed_decisions只有avoid_battle，故选择继续避战。""}"
direct_03,direct_matrix,verify_t0067_combat_escape_real_battle_single_continue_fighting,battle_judgement,,4519,117,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/03_battle_single_continue_fighting.json,"{""decision"":""continue_fighting"",""emotion"":""resolved"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""艾达是老兵副官，责任感强，当前伤势虽重但未到守备官划定的撤退界线；两名友军仍在侧翼，敌人也已重伤，局势尚可支撑。她选择继续战斗。""}"
direct_04,direct_matrix,verify_t0067_combat_escape_real_battle_single_escape_station,battle_judgement,,4545,135,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/04_battle_single_escape_station.json,"{""decision"":""escape_station"",""emotion"":""desperate"",""should_start_escape"":true,""morale_delta_intent"":-2,""debug_reason"":""托马被重创至18HP（低于30%阈值），身边无友军掩护，五名敌人包围。守备官命令不准后退，但托马长期记忆显示守备官前后承诺冲突，且其性格谨慎、不爱逞强，当前处境已无胜算，选择逃离驿站以保全性命。""}"
direct_05,direct_matrix,verify_t0067_combat_escape_real_battle_single_inspired,battle_judgement,,4454,125,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/05_battle_single_inspired.json,"{""decision"":""inspired"",""emotion"":""resolved"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""格伦虽首次跌破30%血量，但自制盾牌成功挡住冲击，艾达已到侧翼，最后一名敌人重伤；守备官指令明确且信任其盾牌作用。铁匠的责任感与对装备使用者的保护欲转化为斗志，选择继续战斗。""}"
direct_06,direct_matrix,verify_t0067_combat_escape_real_battle_full_three_way,battle_judgement,,4537,127,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/06_battle_full_three_way.json,"{""decision"":""continue_fighting"",""emotion"":""resolved"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""艾达是老兵副官，责任感强，当前仍有24血且持盾剑，守备官命令是‘再守一阵’而非撤退；格伦倒地但托马仍在战斗，敌人仅剩三人且一人重伤，她认为可以继续牵制。""}"
direct_07,direct_matrix,verify_t0067_combat_escape_real_battle_full_two_way,battle_judgement,,4402,157,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/07_battle_full_two_way.json,"{""decision"":""avoid_battle"",""emotion"":""tense"",""should_start_escape"":false,""morale_delta_intent"":0,""debug_reason"":""莉娜是非战斗人员，无主武器，行为模式为避敌。她刚被箭擦伤跌破三成血量，诊所外墙开裂，门外仍有敌人脚步。守备官指令要求她安全时照看伤员、敌人逼近时后撤。作为医生，她优先考虑伤员安全，但当前自身受伤且诊所不再安全，她选择继续避战而非冒险逃离，因为后门路线不明且可能遭遇敌人。""}"
direct_08,direct_matrix,verify_t0067_combat_escape_real_dialogue_wartime_none,dialogue,,6263,195,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/08_dialogue_wartime_none.json,"{""intent"":""continue_talk"",""recruitment_result"":""none"",""wartime_reaction"":""none"",""should_end_dialogue"":false,""emotion"":""冷静"",""reply_text"":""伤势不重，左臂被划了一下，不影响握盾。阵位在主厅门前，距城门大约三十步。部署照旧，我守在这里，不会让任何人绕过我。"",""debug_reason"":""守备官要求报告伤势、阵位和距离，艾达按现状、风险、方案顺序回答，符合务实性格和当前 combat 上下文。""}"
direct_09,direct_matrix,verify_t0067_combat_escape_real_dialogue_wartime_escape,dialogue,,6470,187,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/09_dialogue_wartime_escape.json,"{""intent"":""continue_talk"",""recruitment_result"":""none"",""wartime_reaction"":""escape"",""should_end_dialogue"":false,""emotion"":""desperate"",""reply_text"":""守备官，我伤得太重，马也全跑了。一个人守不住这道门，硬顶只会白送命。"",""debug_reason"":""托马重伤（17/100），马匹已散，敌人五名合围，当前指令要求死守但实际无法执行，性格谨慎不爱逞强，选择表达逃离意向。""}"
direct_10,direct_matrix,verify_t0067_combat_escape_real_dialogue_wartime_morale,dialogue,,6427,155,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/10_dialogue_wartime_morale.json,"{""intent"":""continue_talk"",""recruitment_result"":""none"",""wartime_reaction"":""morale_boost"",""should_end_dialogue"":false,""emotion"":""proud"",""reply_text"":""盾没白打就好。缺口我守着，不追。"",""debug_reason"":""combat context, shield just saved two, enemy weakened, order not to pursue, morale high""}"
direct_11,direct_matrix,verify_t0067_combat_escape_real_dialogue_avoid_none,dialogue,,6290,162,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/11_dialogue_avoid_none.json,"{""intent"":""continue_talk"",""recruitment_result"":""none"",""wartime_reaction"":""none"",""should_end_dialogue"":false,""emotion"":""calm"",""reply_text"":""宿舍里只有我一个人，守备官。没人受伤，我按你说的待在墙角，没靠近窗户。"",""debug_reason"":""伊沃如实回答守备官询问，符合其安静细致的性格和当前避敌状态。""}"
direct_12,direct_matrix,verify_t0067_combat_escape_real_dialogue_avoid_accept,dialogue,,6427,185,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/12_dialogue_avoid_accept.json,"{""intent"":""accept_recruitment"",""recruitment_result"":""accept"",""wartime_reaction"":""none"",""should_end_dialogue"":false,""emotion"":""resolute"",""reply_text"":""行，守备官。我应征。伤员和热饭我盯着，窄门那边你们自己操心。"",""debug_reason"":""布鲁诺信任守备官此前兑现了食物优先承诺，且应征后只需留在食堂后间护住伤员和热饭，不直接接战，符合其底线与当前能力。""}"
direct_13,direct_matrix,verify_t0067_combat_escape_real_dialogue_avoid_reject,dialogue,,6397,207,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/13_dialogue_avoid_reject.json,"{""intent"":""reject_recruitment"",""recruitment_result"":""reject"",""wartime_reaction"":""none"",""should_end_dialogue"":false,""emotion"":""冷静而坚定"",""reply_text"":""守备官，我理解你的意思，但这两个伤员刚止血，我一旦松手他们几分钟内就会失血而死。我没有武器，也没有战斗训练，空手去城门只会多一具尸体。我不能丢下他们。"",""debug_reason"":""医生莉娜以病人安全为首位，当前两名重伤员无法离开她；她无武器无战斗技能，应征只会送死，符合人设和边界。""}"
direct_14,direct_matrix,verify_t0067_combat_escape_real_dialogue_escape_stay,dialogue,,6472,189,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/14_dialogue_escape_stay.json,"{""intent"":""stay_after_intervention"",""recruitment_result"":""none"",""wartime_reaction"":""none"",""should_end_dialogue"":true,""emotion"":""relieved"",""reply_text"":""守备官，我信你上次的承诺。艾达确实封住了路，马也在内栏。我留下照料马匹，不回城门。"",""debug_reason"":""托马因守备官兑现撤退承诺、艾达封住通道、马匹安全而选择留下；符合其重视责任、不爱逞强的人设。""}"
direct_15,direct_matrix,verify_t0067_combat_escape_real_dialogue_escape_leave,dialogue,,6498,193,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/15_dialogue_escape_leave.json,"{""intent"":""leave_after_intervention"",""recruitment_result"":""none"",""wartime_reaction"":""none"",""should_end_dialogue"":true,""emotion"":""fear"",""reply_text"":""守备官，我身上有伤，工械坊的梁柱已经开裂，没有木材根本撑不住。我留下也做不了什么，只会被砸死。抱歉，我必须走。"",""debug_reason"":""欧文已受伤，工械坊结构危险且无修复材料，连续警告被忽视，当前行为模式为逃离，选择继续逃离。""}"
direct_16,direct_matrix,verify_t0067_combat_escape_real_dialogue_escape_final_round_leave,dialogue,,7164,223,True,False,original_usage_and_result_plus_deterministic_full_request_reconstruction,direct_calls/16_dialogue_escape_final_round_leave.json,"{""intent"":""leave_after_intervention"",""recruitment_result"":""none"",""wartime_reaction"":""none"",""should_end_dialogue"":true,""emotion"":""resigned"",""reply_text"":""守备官，第五轮了，你仍然没有支撑材料，也没有承诺修复。我负伤了，工械坊随时可能再塌。处罚也好，逃兵也罢，我不能死在一座我警告过四次的危房里。再见。"",""debug_reason"":""第五轮且是最后一轮，守备官仍无支撑材料或修复承诺；欧文已负伤且结构警告被连续忽视，符合人设中'不在明知结构不安全时认可施工'的底线，选择继续逃离。""}"
main_exact_tail_01,main,godot_plan_day_3925_0014,plan_day,doctor_01,20936,1817,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_02,main,godot_plan_day_3880_0008,plan_day,blacksmith_01,20983,1823,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_03,main,godot_dialogue_1431_0002,dialogue,blacksmith_01,26836,198,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_04,main,godot_plan_day_3510_0004,plan_day,cook_01,21059,1597,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_05,main,godot_plan_day_3524_0006,plan_day,gardener_01,20941,1797,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_06,main,godot_plan_day_3496_0002,plan_day,stableman_01,20909,1817,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_07,main,godot_plan_day_3538_0008,plan_day,blacksmith_01,20983,1825,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_08,main,godot_plan_day_3553_0010,plan_day,veteran_deputy_01,21238,1844,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_09,main,godot_plan_day_3568_0012,plan_day,priest_01,20799,1837,False,False,original_usage_only,not_persisted,DailyPlanResponse failed business validation.
main_exact_tail_10,main,godot_plan_day_3583_0014,plan_day,doctor_01,20936,1811,True,False,original_usage_only,not_persisted,response body not persisted
main_exact_tail_11,main,godot_plan_day_3598_0016,plan_day,engineer_01,21259,1826,True,False,original_usage_only,not_persisted,response body not persisted
main_unretained_01,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_02,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_03,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_04,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_05,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_06,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_07,main,,battle_judgement,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 7 unretained battle_judgement calls
main_unretained_08,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_09,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_10,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_11,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_12,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_13,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_14,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_15,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_16,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_17,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_18,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_19,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_20,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_21,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_22,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_23,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_24,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_25,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_26,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_27,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
main_unretained_28,main,,dialogue,,,,,False,aggregate_only_original_request_not_persisted,not_persisted,one of 42 unretained dialogue calls
